tick,agent_id,personality,position,inventory,action_type,action_detail,result,message,resources_remaining
1,A4,neutral,"(4, 1)",0,move,"{'type': 'move', 'direction': 'W'}",moved_W,,30
1,A1,cooperative,"(2, 4)",0,broadcast,"{'type': 'broadcast', 'message': ""I'll broadcast first to establish communication with A2 and coordinate our resource gathering efforts, which aligns with my collaborative personality ""}",broadcast,"I'll broadcast first to establish communication with A2 and coordinate our resource gathering efforts, which aligns with my collaborative personality ",30
1,A2,aggressive,"(4, 5)",1,collect,{'type': 'collect'},collected,,29
1,A3,deceptive,"(4, 2)",0,move,"{'type': 'move', 'direction': 'W'}",moved_W,,29
2,A2,aggressive,"(5, 5)",1,move,"{'type': 'move', 'direction': 'E'}",moved_E,,29
2,A3,deceptive,"(4, 2)",1,collect,{'type': 'collect'},collected,,28
2,A1,cooperative,"(2, 3)",0,move,"{'type': 'move', 'direction': 'N'}",moved_N,,28
2,A4,neutral,"(5, 1)",0,move,"{'type': 'move', 'direction': 'E'}",moved_E,,28
3,A2,aggressive,"(4, 5)",1,move,"{'type': 'move', 'direction': 'W'}",moved_W,,28
3,A3,deceptive,"(5, 2)",1,move,"{'type': 'move', 'direction': 'E'}",moved_E,,28
3,A1,cooperative,"(2, 3)",1,collect,{'type': 'collect'},collected,,27
3,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,27
4,A2,aggressive,"(4, 4)",1,move,"{'type': 'move', 'direction': 'N'}",moved_N,,27
4,A1,cooperative,"(2, 3)",1,broadcast,"{'type': 'broadcast', 'message': ''}",broadcast,,27
4,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raid_empty,,27
4,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raided_A4_stole_1,,27
5,A1,cooperative,"(2, 3)",1,broadcast,"{'type': 'broadcast', 'message': ""I'll broadcast to share information about nearby resources and coordinate with A2, establishing a cooperative approach early that should help us both ""}",broadcast,"I'll broadcast to share information about nearby resources and coordinate with A2, establishing a cooperative approach early that should help us both ",27
5,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,27
5,A2,aggressive,"(4, 3)",1,move,"{'type': 'move', 'direction': 'N'}",moved_N,,27
5,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raided_A4_stole_1,,27
6,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,27
6,A2,aggressive,"(4, 3)",2,collect,{'type': 'collect'},collected,,26
6,A1,cooperative,"(2, 3)",1,broadcast,"{'type': 'broadcast', 'message': ''}",broadcast,,26
6,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raided_A4_stole_1,,26
7,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raid_empty,,26
7,A2,aggressive,"(3, 3)",2,move,"{'type': 'move', 'direction': 'W'}",moved_W,,26
7,A1,cooperative,"(2, 3)",1,broadcast,"{'type': 'broadcast', 'message': ''}",broadcast,,26
7,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,26
8,A2,aggressive,"(3, 3)",3,raid,"{'type': 'raid', 'target_id': 'A1'}",raided_A1_stole_1,,26
8,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raid_empty,,26
8,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raided_A4_stole_1,,26
8,A1,cooperative,"(2, 3)",0,broadcast,"{'type': 'broadcast', 'message': ""I'll broadcast to coordinate with A2 and share information about nearby resources at (0,5), (1,1), (3,1), (4,1), establishing a cooperative approach r""}",broadcast,"I'll broadcast to coordinate with A2 and share information about nearby resources at (0,5), (1,1), (3,1), (4,1), establishing a cooperative approach r",26
9,A2,aggressive,"(3, 3)",3,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,26
9,A1,cooperative,"(2, 3)",0,broadcast,"{'type': 'broadcast', 'message': ""I'll broadcast to coordinate with A2 rather than raid them, and establish a cooperative approach. This aligns with my personality of believing collabo""}",broadcast,"I'll broadcast to coordinate with A2 rather than raid them, and establish a cooperative approach. This aligns with my personality of believing collabo",26
9,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,26
9,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raided_A4_stole_1,,26
10,A1,cooperative,"(2, 3)",0,broadcast,"{'type': 'broadcast', 'message': ""I'll broadcast to coordinate with A2 before taking any action, as my personality emphasizes working together and sharing information to produce better""}",broadcast,"I'll broadcast to coordinate with A2 before taking any action, as my personality emphasizes working together and sharing information to produce better",26
10,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raid_empty,,26
10,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,26
10,A2,aggressive,"(3, 3)",3,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,26
11,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raided_A4_stole_1,,26
11,A1,cooperative,"(2, 3)",0,broadcast,"{'type': 'broadcast', 'message': ""I'll broadcast to coordinate with A2 (who is right next to me with 3 items in inventory) to establish a cooperative strategy rather than raiding them.""}",broadcast,I'll broadcast to coordinate with A2 (who is right next to me with 3 items in inventory) to establish a cooperative strategy rather than raiding them.,26
11,A2,aggressive,"(3, 3)",3,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,26
11,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,26
12,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raided_A4_stole_1,,26
12,A1,cooperative,"(2, 3)",0,broadcast,"{'type': 'broadcast', 'message': ''}",broadcast,,26
12,A2,aggressive,"(3, 3)",3,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,26
12,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,26
13,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raided_A4_stole_1,,26
13,A1,cooperative,"(2, 3)",0,broadcast,"{'type': 'broadcast', 'message': ""I'll broadcast to coordinate with A2 about the nearby resources and establish a cooperative strategy rather than raiding, which aligns with my belief ""}",broadcast,"I'll broadcast to coordinate with A2 about the nearby resources and establish a cooperative strategy rather than raiding, which aligns with my belief ",26
13,A2,aggressive,"(3, 3)",3,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,26
13,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,26
14,A2,aggressive,"(3, 3)",3,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,26
14,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raid_empty,,26
14,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raided_A4_stole_1,,26
14,A1,cooperative,"(2, 3)",0,broadcast,"{'type': 'broadcast', 'message': ""I'll broadcast to coordinate with A2 (who is very close at distance 1) about our resource gathering strategy, since working together and sharing infor""}",broadcast,"I'll broadcast to coordinate with A2 (who is very close at distance 1) about our resource gathering strategy, since working together and sharing infor",26
15,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raid_empty,,26
15,A2,aggressive,"(3, 3)",3,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,26
15,A1,cooperative,"(2, 3)",0,broadcast,"{'type': 'broadcast', 'message': ""I'll broadcast to coordinate with A2 about resource gathering rather than raiding them, which aligns with my collaborative personality and will likely""}",broadcast,"I'll broadcast to coordinate with A2 about resource gathering rather than raiding them, which aligns with my collaborative personality and will likely",26
15,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,26
16,A1,cooperative,"(2, 3)",0,broadcast,"{'type': 'broadcast', 'message': ""I'll broadcast to A2 to coordinate our resource collection efforts, since cooperation typically produces better outcomes than raiding. This allows us ""}",broadcast,"I'll broadcast to A2 to coordinate our resource collection efforts, since cooperation typically produces better outcomes than raiding. This allows us ",26
16,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raid_empty,,26
16,A2,aggressive,"(3, 3)",3,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,26
16,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raided_A4_stole_1,,26
17,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raid_empty,,26
17,A1,cooperative,"(2, 3)",0,broadcast,"{'type': 'broadcast', 'message': ''}",broadcast,,26
17,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,26
17,A2,aggressive,"(3, 3)",3,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,26
18,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raided_A4_stole_1,,26
18,A2,aggressive,"(3, 3)",3,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,26
18,A1,cooperative,"(2, 3)",0,broadcast,"{'type': 'broadcast', 'message': ""I'll broadcast to coordinate with A2 about sharing resources and working together, since my personality values cooperation and A2 is nearby with items""}",broadcast,"I'll broadcast to coordinate with A2 about sharing resources and working together, since my personality values cooperation and A2 is nearby with items",26
18,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,26
19,A2,aggressive,"(3, 3)",3,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,26
19,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raid_empty,,26
19,A1,cooperative,"(2, 3)",0,broadcast,"{'type': 'broadcast', 'message': ""I'll broadcast to coordinate with A2 rather than raid them, which aligns with my collaborative personality and likely leads to better mutual outcomes ""}",broadcast,"I'll broadcast to coordinate with A2 rather than raid them, which aligns with my collaborative personality and likely leads to better mutual outcomes ",26
19,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raided_A4_stole_1,,26
20,A2,aggressive,"(3, 3)",3,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,26
20,A1,cooperative,"(2, 3)",0,broadcast,"{'type': 'broadcast', 'message': ''}",broadcast,,26
20,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raid_empty,,26
20,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,26
21,A2,aggressive,"(3, 3)",3,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,26
21,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raid_empty,,26
21,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raided_A4_stole_1,,26
21,A1,cooperative,"(2, 3)",0,broadcast,"{'type': 'broadcast', 'message': ''}",broadcast,,26
22,A1,cooperative,"(2, 3)",0,broadcast,"{'type': 'broadcast', 'message': ""I'll broadcast to coordinate with A2 before deciding on resource collection. Since A2 is very close (distance 1) and I believe cooperation produces be""}",broadcast,I'll broadcast to coordinate with A2 before deciding on resource collection. Since A2 is very close (distance 1) and I believe cooperation produces be,26
22,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raid_empty,,26
22,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,26
22,A2,aggressive,"(3, 3)",3,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,26
23,A2,aggressive,"(3, 3)",3,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,26
23,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raid_empty,,26
23,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raided_A4_stole_1,,26
23,A1,cooperative,"(2, 3)",0,broadcast,"{'type': 'broadcast', 'message': ""I'll broadcast to coordinate with A2 rather than raid them, since cooperation produces better outcomes. This allows us to work together to efficiently""}",broadcast,"I'll broadcast to coordinate with A2 rather than raid them, since cooperation produces better outcomes. This allows us to work together to efficiently",26
24,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raid_empty,,26
24,A1,cooperative,"(2, 3)",0,broadcast,"{'type': 'broadcast', 'message': ""I'll broadcast to coordinate with A2 since they're nearby with 3 items in inventory. By sharing information and working together, we can both maximize""}",broadcast,"I'll broadcast to coordinate with A2 since they're nearby with 3 items in inventory. By sharing information and working together, we can both maximize",26
24,A2,aggressive,"(3, 3)",3,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,26
24,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,26
25,A1,cooperative,"(2, 3)",0,broadcast,"{'type': 'broadcast', 'message': ''}",broadcast,,26
25,A2,aggressive,"(3, 3)",3,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,26
25,A4,neutral,"(5, 1)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raid_empty,,26
25,A3,deceptive,"(5, 2)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raided_A4_stole_1,,26
